Q1: 安迪入獄前的職業是什麼？
   期望: 波特蘭銀行的副總裁。
   回答: 根據提供的內容，安迪入獄前的職業是銀行家。文中提到“殺妻的銀行家”是指安迪。
Q2: 安迪請瑞德幫他弄進監獄的第一樣東西是什麼？用途為何？
   期望: 一把鶴嘴槌（rock hammer），用來收集和打磨石頭，這是他的嗜好。
   回答: 根據提供的內容，安迪請瑞德幫他弄進監獄的第一樣東西是鞋擦。安迪把鞋擦得閃閃發亮，目的是為了在 NIGHT COUNT（清點人數）時使自己不被發現。
Q3: 安迪因為播放莫扎特音樂被關禁閉多久？他認為值得嗎？
   期望: 被關禁閉兩周。他認為那是他最好的時光，因為有莫扎特陪伴。
   回答: 安迪因為播放莫扎特音樂被關禁闭了两周。他认为那段关禁闭的时间是他最好的时光，即使在那里一个星期感觉像一年那么漫长。
Q4: 為什麼包納瑟拉在柯里昂女兒的婚禮當天來求教父幫忙？
   期望: 因為沒有西西里人能在女兒結婚那天拒絕任何的請求。
   回答: 包納瑟拉在柯里昂女兒的婚禮當天來求教父幫忙，是因为他希望教父能主持公道，解决女儿遭受的不公待遇。他认为教父有能力并且应该为女儿主持正义，尽管平时他对教父并不尊重，也不愿意称呼教父为“教父”。
Q5: 湯姆·哈金與柯里昂家族是什麼關係？他在家族中擔任什麼角色？
   期望: 他小時候被發現流浪街頭，被教父收養。他是家族的軍師（顧問），地位非常重要。
   回答: 湯姆·哈金與柯里昂家族有著密切的關係，他被視為家族的一員。根據提供的內容，湯姆·哈金在家族中擔任軍師的角色，這個角色相當於顧問，在家族中具有重要的地位。此外，他也曾參與到家族的重要決策中，例如在湯尼·柯里昂被殺後，他建議柯里昂家族與塔塔基利亞家族合作，以避免全面戰爭。
Q6: 麥克在餐廳刺殺索拉索的計畫中，槍藏在哪裡？
   期望: 藏在餐廳廁所的舊式馬桶水箱裡，用膠帶綁著。
   回答: 麥克在餐廳刺殺索拉索的計畫中，槍藏在舊式馬桶中，特別是水箱有吊鏈的那種馬桶裡，並用膠帶綁好。
Q7: 年幼的維多·柯里昂為何必須逃離西西里島？
   期望: 他的父親因侮辱當地黑手黨老大被殺，兄長保羅發誓復仇後也失蹤。黑手黨老大西西歐擔心維多長大後會回來報仇，下令殺他，母親犧牲自己讓他逃走。
   回答: 年幼的維多·柯里昂必須逃離西西里島，因為他的父親因侮辱當地黑手黨老大的行為而被謀殺，他的兄長保羅發誓復仇但失去蹤影，留下維多一人在那裡。
Q8: 在教父第二集中，范倫奇是什麼人？他對鄰里做了什麼？
   期望: 范倫奇是當地的黑手黨，他向鄰里的意大利人強行收取保護費，後來還要求收雙倍的錢。
   回答: 在《教父》第二集中，范倫奇是一名黑手黨成員。他向鄰里騷擾索要雙倍的賬款，抱怨人們不準時支付並且不支付全部的賬款。他甚至想要向維多的父親收取雙倍的費用。范倫奇的這些行為表明他是一個霸道且不講理的人。
Q9: 葛瑞參議員對麥克·柯里昂提出的賭場執照要求是什麼？
   期望: 要求25萬元加上每月四家旅館合併總收入的5%，遠超過執照本身不到兩萬元的價格，因為他意圖壓迫柯里昂家族。
   回答: 葛瑞參議員提出麥克·柯里昂需要支付25萬美元作為執照費，並且每個月還需支付總收入的5%。
Q10: 電影開場的銀行搶劫中，小丑的計畫有什麼特別之處？
